@relation 'IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.Remove-R1-5,7-9,11-12,14-15,17-24,26,28-29,32-34'

@attribute Education numeric
@attribute EnvironmentSatisfaction numeric
@attribute JobInvolvement numeric
@attribute JobSatisfaction numeric
@attribute RelationshipSatisfaction numeric
@attribute StockOptionLevel numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute Class_Attrition {Yes,No}

@data
2,2,2,2,1,2,3,5,No
2,3,3,2,3,0,2,10,No
4,4,3,1,2,0,1,10,Yes
3,4,3,4,3,0,3,3,No
5,4,3,4,4,0,3,10,No
3,2,1,4,4,3,3,13,No
2,3,3,4,3,0,3,2,No
4,4,3,3,2,0,3,1,No
3,4,3,4,1,1,1,7,No
1,2,3,1,2,0,3,1,Yes
3,1,3,3,3,2,2,16,No
2,4,2,4,4,1,3,8,No
4,4,3,4,2,1,3,2,No
2,1,2,2,3,1,3,10,No
2,3,2,4,2,1,3,11,No
3,3,3,3,3,1,3,1,No
1,3,3,1,4,0,2,0,No
4,2,4,4,3,0,2,9,No
3,3,3,3,4,0,4,1,No
5,4,3,3,2,1,1,1,No
4,1,4,1,4,0,3,15,No
3,1,2,1,3,1,2,4,No
3,2,2,2,4,1,3,2,No
3,4,3,1,2,1,3,15,No
3,3,3,4,2,0,3,5,No
1,3,3,3,2,1,2,2,No
4,2,3,4,3,0,3,1,No
4,3,3,3,1,1,3,2,No
1,3,2,3,1,1,2,19,No
4,3,2,3,2,2,3,8,No
2,4,3,2,3,0,3,1,No
3,3,4,3,4,1,4,7,No
2,2,3,1,4,1,3,7,No
3,4,4,3,4,3,3,4,No
4,3,3,3,3,0,3,6,No
3,3,3,2,1,2,3,5,Yes
3,3,3,2,4,1,3,9,No
3,2,3,2,2,0,4,3,No
2,4,2,3,4,1,4,5,No
3,4,3,4,4,2,4,13,No
2,4,3,3,4,1,2,0,No
2,3,2,2,2,1,2,6,No
3,2,1,4,3,1,3,1,No
2,4,2,3,2,1,3,5,No
3,1,3,2,4,3,3,11,No
3,4,2,2,3,1,3,20,No
2,2,3,4,4,2,4,5,No
3,1,2,1,1,0,2,1,No
4,4,3,2,2,1,3,6,No
4,4,3,2,1,2,3,15,No
4,1,2,3,4,1,3,8,No
3,2,1,3,1,1,3,18,No
2,1,3,4,3,1,3,10,No
3,4,3,4,3,1,4,1,Yes
4,4,2,3,3,1,4,15,No
4,3,3,3,3,3,3,3,No
3,3,4,4,1,3,2,18,No
1,3,3,1,4,0,3,21,No
2,4,3,3,1,0,2,1,Yes
1,2,3,3,3,1,3,21,No
1,3,3,3,1,1,3,8,No
4,4,2,3,1,0,3,20,No
3,3,4,2,3,1,1,8,No
3,4,2,4,3,2,3,5,No
5,1,4,3,4,0,3,8,No
1,4,2,4,3,1,3,21,No
3,4,3,1,3,0,3,21,No
3,1,3,4,4,3,3,18,Yes
3,3,3,2,3,0,2,5,No
3,3,3,1,1,0,3,5,Yes
2,1,3,3,1,0,3,8,No
4,1,2,4,4,2,4,5,No
3,2,3,2,4,0,3,2,No
3,4,4,3,1,1,3,7,No
5,2,3,1,4,3,3,7,No
2,3,2,3,4,1,3,10,No
3,1,3,3,4,0,1,9,No
3,4,3,4,4,1,3,9,No
3,3,3,4,4,1,3,2,No
4,4,3,4,2,3,3,2,No
4,1,1,3,3,1,3,3,No
4,2,3,1,1,0,3,20,No
1,1,3,4,1,0,3,7,No
3,4,3,4,3,0,2,6,No
1,2,2,4,1,1,2,20,No
1,4,2,1,1,1,3,7,No
3,2,3,2,1,1,3,20,No
4,3,2,4,1,1,2,12,No
1,4,3,3,2,1,3,20,No
2,3,3,4,3,1,4,7,No
5,4,2,4,4,1,1,3,No
2,1,3,4,1,2,3,9,No
2,1,3,3,4,1,3,21,No
4,4,4,3,3,1,3,7,No
2,3,2,3,1,2,3,6,Yes
2,4,3,2,3,2,3,5,No
4,3,3,3,4,0,3,20,No
3,2,3,3,3,0,3,20,No
3,3,1,1,3,1,3,1,No
4,1,2,3,4,0,3,1,No
4,1,2,2,2,1,2,1,No
4,4,3,2,4,1,3,1,No
3,2,4,2,4,0,2,1,Yes
3,3,3,1,2,1,2,7,No
3,3,2,3,1,0,4,20,No
4,2,3,3,3,0,2,18,No
2,3,2,4,4,1,1,1,No
4,2,3,2,4,3,3,0,No
3,2,2,2,2,1,4,5,No
4,4,2,2,3,0,3,5,Yes
2,3,3,3,2,1,3,4,No
3,3,3,4,3,0,3,9,No
4,3,3,3,3,2,4,8,No
1,4,2,2,3,1,3,9,No
3,3,3,3,3,1,4,3,No
4,4,3,1,2,0,1,5,Yes
2,1,3,1,4,0,4,8,No
2,4,3,4,3,0,3,2,No
2,4,3,1,3,1,3,5,No
3,3,3,4,4,0,2,4,No
3,1,3,1,2,0,1,4,Yes
2,2,3,1,2,1,3,1,No
4,2,3,2,2,0,2,21,No
2,3,3,1,4,1,2,4,No
3,3,3,4,4,1,3,5,No
3,2,3,1,2,1,3,7,No
4,1,3,1,1,1,3,19,No
3,4,3,3,1,1,4,10,No
2,2,3,2,3,1,3,11,No
4,1,3,4,3,2,2,1,No
4,3,2,3,4,0,3,2,No
4,3,3,3,2,3,3,5,No
2,2,3,4,1,0,1,6,Yes
1,3,3,3,3,1,3,9,No
3,4,2,1,2,1,2,7,No
3,1,3,3,1,1,3,9,No
3,4,3,4,3,0,3,1,No
2,3,3,1,1,2,2,1,No
4,4,3,2,2,0,3,22,No
3,4,2,2,4,0,3,5,No
3,1,3,2,3,0,3,8,Yes
3,2,4,1,3,1,3,10,No
2,4,3,4,4,0,3,14,No
4,1,2,3,1,0,3,8,No
5,2,3,1,2,1,3,18,No
4,2,2,4,2,3,2,21,No
3,4,2,3,2,1,3,22,No
4,2,1,4,3,1,2,7,Yes
3,4,3,1,3,0,3,18,No
3,1,3,3,2,1,4,18,No
2,4,3,3,2,0,3,2,No
2,2,4,3,3,0,3,10,No
4,2,3,4,1,1,3,1,No
2,1,2,1,1,1,1,1,Yes
2,3,1,2,1,0,3,19,No
3,3,3,1,4,1,3,9,No
3,4,3,4,1,2,2,6,No
5,2,4,3,1,0,2,4,No
2,4,3,3,4,0,3,2,No
3,4,3,3,2,0,3,10,No
3,3,1,2,2,1,3,3,No
3,2,4,2,1,0,1,3,No
3,3,2,2,3,1,3,5,No
4,3,3,2,4,1,3,9,No
2,3,3,3,2,1,3,5,No
2,3,3,4,4,0,3,22,No
2,4,4,1,3,0,3,3,No
3,4,2,1,3,1,3,9,No
3,3,3,2,4,1,4,20,No
5,1,3,4,2,0,3,1,No
1,3,3,3,3,1,3,3,No
4,2,3,1,2,1,3,5,No
2,1,3,3,2,1,3,5,No
4,4,2,4,4,3,4,6,No
2,2,3,3,4,1,3,2,No
4,3,3,4,2,2,3,10,No
3,3,4,3,4,0,3,2,Yes
2,4,2,4,4,1,3,4,No
3,2,3,2,4,1,2,9,No
1,2,3,4,4,0,3,2,No
3,3,4,4,2,1,2,5,No
2,3,2,3,1,0,3,5,No
2,4,3,3,2,0,4,1,No
3,2,1,4,1,0,3,1,No
4,2,3,1,4,0,4,6,No
5,4,4,1,1,1,4,4,No
5,1,3,1,3,0,3,1,No
4,2,4,2,4,0,3,1,No
1,3,3,3,4,0,2,20,No
3,3,3,1,3,1,3,20,No
2,1,3,4,3,0,3,12,No
3,3,2,2,2,1,3,1,No
3,2,4,1,3,2,2,0,No
3,4,3,3,4,0,3,0,No
3,3,3,1,2,1,4,13,No
4,2,3,4,3,2,3,0,No
2,4,2,3,4,0,3,20,No
4,4,3,1,3,1,2,4,No
3,1,3,3,1,0,2,22,No
2,4,4,3,4,2,2,5,No
2,3,3,4,4,2,4,25,No
3,2,4,3,4,0,3,3,No
3,4,4,4,4,3,4,5,No
4,3,3,4,1,0,3,8,No
4,3,2,3,2,1,4,9,No
3,3,3,1,1,1,2,1,No
3,1,2,2,3,1,3,25,No
4,3,3,3,4,0,3,5,No
4,2,2,4,3,1,2,1,No
5,4,3,3,2,1,3,8,No
3,4,2,4,3,1,3,2,No
3,4,3,4,2,1,2,5,No
3,3,2,4,3,1,3,1,No
3,3,3,1,3,1,3,8,No
3,1,1,3,2,0,2,4,Yes
3,3,1,4,2,1,3,8,No
3,1,2,3,1,0,1,20,No
3,4,4,2,3,1,3,6,No
3,4,3,4,1,1,3,10,No
3,3,2,3,4,1,3,1,Yes
3,2,3,4,2,0,3,9,No
3,1,3,3,3,0,2,3,No
3,1,2,3,4,0,3,16,No
3,1,3,3,2,1,3,10,No
4,1,2,4,4,1,3,22,No
4,4,3,4,4,0,4,4,No
3,2,3,2,3,1,4,3,No
4,1,2,3,2,0,4,2,No
4,4,3,4,1,1,4,2,No
3,1,1,3,3,0,3,5,No
3,4,3,2,4,0,2,5,No
2,2,3,1,4,0,3,8,No
3,4,4,4,3,1,3,12,No
2,2,2,1,4,1,3,20,Yes
4,3,3,3,3,0,3,6,Yes
3,4,1,3,4,0,3,0,No
1,1,4,4,4,1,3,10,No
3,2,3,2,3,1,3,22,No
3,1,3,4,4,1,3,10,Yes
3,1,3,1,3,0,4,3,Yes
3,3,2,3,4,0,3,5,No
3,4,3,2,3,0,2,5,No
5,1,3,3,3,1,2,1,No
1,2,3,3,2,0,2,2,No
3,2,3,4,4,1,2,22,No
5,1,3,4,3,0,3,10,No
3,3,3,4,1,3,3,2,No
3,3,4,4,2,1,3,8,No
2,3,3,2,3,3,2,5,Yes
4,2,4,1,4,1,3,2,No
3,2,3,4,3,0,3,4,No
3,2,3,1,3,1,3,1,No
4,4,3,1,2,0,4,0,No
3,3,3,4,2,0,2,6,No
3,2,3,2,3,1,1,17,No
2,3,3,1,1,1,4,5,No
3,4,2,4,4,0,3,19,No
3,3,4,4,3,1,3,24,No
4,1,4,3,4,1,3,3,No
2,3,3,4,2,0,3,20,No
3,1,3,1,1,1,3,24,No
4,4,3,4,1,2,3,10,No
3,4,3,2,2,1,4,8,No
4,1,3,1,4,2,3,1,Yes
2,2,1,3,1,0,3,8,No
3,2,2,3,4,0,3,1,No
3,4,3,1,3,1,3,5,No
2,3,3,2,2,0,2,9,No
4,4,3,4,4,2,3,5,No
2,4,3,1,3,1,3,9,No
2,4,3,4,2,1,4,9,No
4,2,3,2,1,0,3,6,No
4,2,2,3,4,1,3,15,No
3,1,3,3,3,1,2,3,No
3,1,1,2,1,0,3,24,Yes
3,2,1,1,2,1,3,7,No
3,2,3,4,4,2,4,3,No
4,1,3,2,1,3,3,10,No
5,3,1,1,1,0,3,10,No
3,1,2,1,1,1,3,10,No
2,4,2,4,1,2,3,10,No
2,4,2,2,3,0,3,21,No
2,2,2,4,4,2,2,9,No
4,2,3,3,3,0,3,4,No
3,4,3,3,3,0,3,5,No
4,2,3,1,4,0,2,2,No
2,3,2,4,4,0,3,9,Yes
3,3,2,1,3,1,2,10,No
4,4,3,1,3,1,3,4,No
3,3,1,2,2,1,2,7,No
4,3,3,3,3,0,4,1,No
3,3,3,3,3,1,2,10,No
3,1,3,3,3,0,1,3,No
3,3,2,4,3,1,3,3,No
1,1,3,3,4,0,2,2,No
2,4,3,3,2,1,3,8,No
4,4,3,4,4,2,3,2,No
1,1,3,3,4,1,3,12,No
2,4,3,2,1,1,3,4,No
4,4,3,4,3,1,2,6,No
2,4,2,2,3,1,3,11,No
2,4,3,1,3,0,4,7,No
3,1,3,4,1,1,4,7,Yes
3,3,3,2,4,1,4,13,No
4,4,4,1,2,0,1,26,No
4,3,3,2,4,0,3,10,No
3,3,3,4,2,1,2,10,No
4,3,3,4,3,1,3,2,No
2,2,2,2,3,0,3,2,No
2,4,3,4,3,1,2,9,No
3,1,4,1,4,1,3,19,No
4,1,3,2,4,1,2,10,Yes
5,4,3,3,2,1,3,3,No
1,2,3,3,1,0,3,0,No
2,1,3,4,3,3,3,5,No
4,4,3,1,4,0,3,7,No
3,4,3,3,4,2,2,22,No
2,2,4,3,4,0,3,5,Yes
2,3,3,4,3,1,2,26,No
4,4,2,4,1,0,2,3,No
4,3,4,3,3,0,4,19,No
2,4,3,4,3,0,3,9,No
3,1,3,4,3,1,2,6,No
4,1,3,3,2,2,4,20,No
3,3,3,3,3,1,2,5,No
4,4,3,3,3,1,3,5,No
4,2,4,2,3,3,3,3,No
4,3,3,2,4,1,1,1,No
4,2,3,3,3,0,3,2,No
4,3,3,2,3,1,4,8,No
1,3,3,2,1,2,1,13,No
2,1,2,3,4,0,3,1,Yes
5,2,3,4,1,1,3,9,No
4,4,2,1,1,1,1,3,No
1,2,4,2,4,0,3,2,No
4,4,3,3,1,2,2,0,No
3,1,2,3,4,0,3,2,No
4,3,2,3,2,0,3,15,No
2,4,4,2,3,0,2,1,No
3,4,2,4,3,0,4,1,No
3,4,3,4,3,0,3,10,No
3,3,3,1,1,3,3,2,No
4,3,3,3,3,1,3,8,No
4,3,3,1,4,1,2,8,No
2,4,3,3,3,2,3,9,Yes
3,4,2,2,4,0,3,22,No
3,4,3,4,2,1,3,22,No
4,3,3,1,3,0,2,15,No
4,4,3,4,1,2,3,7,No
4,3,3,1,4,0,3,3,No
2,3,2,3,4,0,3,7,No
3,3,3,4,1,2,4,9,Yes
3,3,3,1,2,1,3,4,No
2,1,3,2,3,1,2,26,No
4,4,2,2,2,1,3,9,No
2,1,2,3,3,1,4,1,No
4,1,3,3,2,1,2,3,No
4,3,3,2,2,2,3,8,No
4,3,3,1,4,1,2,9,No
4,1,3,2,2,2,3,4,No
1,3,2,3,2,1,3,15,No
3,4,3,1,2,1,2,2,No
3,3,3,3,1,0,3,8,No
4,4,3,4,3,0,4,5,No
1,2,3,4,4,0,3,5,No
3,4,2,2,4,0,2,9,No
2,1,2,3,3,0,3,3,Yes
3,1,3,2,1,0,2,8,No
3,3,3,4,4,0,3,2,No
3,3,3,2,2,0,3,5,No
3,3,2,3,4,1,2,3,No
4,4,3,4,3,1,2,7,No
1,1,3,2,1,2,2,10,No
3,4,2,4,4,0,3,4,No
1,4,4,3,3,3,3,20,No
2,2,3,3,1,1,3,4,Yes
4,4,3,2,4,1,3,2,No
3,3,3,3,4,0,3,4,No
3,4,3,3,4,1,3,12,No
3,1,3,4,2,0,3,1,No
3,4,3,3,1,1,3,18,No
4,2,3,3,4,1,2,8,No
4,4,3,3,4,0,3,0,Yes
3,4,3,1,2,0,3,3,No
3,3,3,3,3,1,3,1,No
5,4,2,1,3,3,3,14,No
4,2,3,3,4,2,3,6,Yes
3,4,2,1,2,1,3,3,Yes
4,1,1,4,4,0,3,4,Yes
4,2,2,3,3,0,3,1,No
3,4,3,2,3,0,3,7,No
4,2,2,2,4,2,1,10,No
3,3,3,4,2,0,2,1,No
3,4,1,2,4,1,3,4,No
2,3,3,4,3,1,2,7,No
4,1,3,3,3,1,2,20,No
4,1,3,3,3,3,4,10,Yes
2,2,2,3,2,0,2,7,No
2,4,2,2,2,0,2,5,No
3,2,3,2,2,0,3,4,No
3,1,3,3,4,0,3,2,No
3,3,2,4,2,0,2,2,No
4,3,2,2,1,0,2,8,Yes
3,4,2,3,3,0,3,5,No
2,4,3,4,4,0,1,5,No
2,4,3,1,2,2,3,10,No
4,4,3,4,1,1,3,4,No
2,4,3,4,2,1,2,9,No
4,2,3,2,4,0,3,8,No
3,2,3,2,3,0,2,8,Yes
2,4,4,3,2,1,2,5,No
4,3,3,1,3,0,1,5,No
4,1,3,4,2,2,2,9,No
4,1,2,4,3,0,3,25,No
3,3,3,3,4,1,2,14,No
2,4,4,1,3,2,3,4,No
4,3,3,3,4,3,2,5,No
3,3,4,3,3,0,3,5,No
3,4,3,4,4,0,3,2,No
2,1,2,4,4,1,3,5,No
3,1,3,4,3,1,3,2,No
4,4,3,4,3,0,3,12,No
3,3,2,2,1,1,3,15,No
2,4,3,3,2,1,3,7,No
3,4,4,2,2,0,2,9,No
4,2,4,4,3,0,3,4,No
4,1,3,1,2,0,2,2,Yes
4,1,3,3,1,1,1,4,No
3,4,4,4,3,0,3,5,No
3,4,3,1,4,1,3,6,No
4,4,3,3,4,0,2,4,No
2,1,3,1,3,1,2,4,No
4,3,3,3,3,0,3,1,No
4,3,3,2,3,1,4,9,No
4,4,3,1,2,2,3,5,No
3,3,3,3,3,1,3,10,No
4,3,2,3,2,1,3,9,No
4,4,3,3,1,1,1,5,No
3,4,3,4,1,0,3,10,No
3,4,3,4,4,0,2,20,No
4,4,3,4,2,1,2,7,No
2,1,3,3,3,2,2,4,No
3,3,3,1,4,0,3,5,No
3,4,3,3,3,3,3,5,No
2,1,3,4,4,1,3,1,No
4,3,4,2,4,0,3,24,No
2,2,3,4,4,1,3,10,No
3,3,3,4,3,0,3,5,No
3,4,3,1,4,1,3,5,Yes
1,3,3,4,3,0,2,9,Yes
4,3,3,2,4,2,3,8,No
1,3,2,1,2,0,4,9,No
1,4,3,2,2,1,3,3,No
2,4,1,3,4,1,3,19,No
4,1,4,3,3,0,2,19,Yes
4,2,4,4,4,2,4,7,No
4,4,3,3,2,0,3,3,No
3,1,2,2,4,1,3,4,No
3,3,2,1,2,3,3,1,No
4,3,4,2,1,1,3,10,No
3,4,1,4,1,0,2,6,No
4,2,3,2,1,3,3,5,Yes
3,3,3,1,3,1,3,2,No
3,3,4,1,4,3,2,7,No
3,3,3,4,3,0,2,10,No
3,1,3,3,2,1,3,5,No
4,4,3,1,4,1,3,5,No
4,4,3,2,1,0,3,7,No
2,1,3,4,4,0,3,4,Yes
5,4,2,1,3,1,3,0,No
2,4,3,3,4,1,1,10,Yes
2,3,4,4,2,1,1,5,No
4,4,3,3,3,0,3,3,No
3,1,2,4,3,1,2,1,No
4,4,1,3,4,1,3,5,No
1,4,2,4,4,1,2,1,Yes
3,3,2,2,4,1,3,6,No
4,1,3,3,4,2,3,2,No
4,3,2,1,4,0,2,10,Yes
4,1,3,3,2,0,3,2,No
3,4,3,4,3,1,2,1,No
3,1,3,1,4,0,2,21,No
1,1,2,3,4,0,2,4,No
3,3,2,4,1,1,3,1,No
2,2,3,3,4,0,2,2,No
3,3,2,4,1,0,3,5,No
2,2,3,4,3,1,1,6,No
3,3,2,4,4,0,3,6,No
4,4,3,4,4,0,2,9,No
4,1,3,1,4,0,3,2,No
4,2,4,4,2,1,3,11,No
3,2.396016,3,2.707907,1.540352,0,3,0.187465,Yes
2.596576,3.75198,3,3.757753,1.527118,0,2.991648,0.546374,Yes
1.315261,1.426782,3,2.939862,3.634694,0,3.131169,0.095389,Yes
4.897385,2.74904,2.350099,2.199494,2.285167,0,4,0.919404,Yes
4.421229,2.032373,2.925639,3.642675,2.650989,0,4,0.697963,Yes
2.317566,3.894064,3.601031,2.81119,4,0,2.454075,0.274585,Yes
2.588047,1.756421,3,2.582437,4,0.81878,2.255716,0.64057,Yes
2.370996,3.80051,2,2.017014,1.028443,0,3.729269,1,Yes
2.037824,1.320285,2,2,2.554398,0,3.521628,2.75058,Yes
3,3.172992,3.31686,3.759422,2.217621,0,3,1.49671,Yes
1,4,3,3,4,0,2.934053,0.480889,Yes
3,3,2.852879,3.926592,3.349765,0.293728,1.870254,3.221689,Yes
3.849638,2.052932,2.338515,3,3.609773,0.163075,2,4.358367,Yes
3,2.794156,2.033745,3.224163,2.106154,0,3.544998,1,Yes
3.392133,3.655461,2,1.427233,1.38764,0,3.568063,1.817914,Yes
3,3.73044,3,3.145955,1.094033,1.440918,3,5.026643,Yes
3.592415,4,3,2.188957,1.233188,0.350387,2.307888,4.794971,Yes
1,3.254393,2.391959,3.627974,1.347037,0,2.325706,1.2024,Yes
3,3,3.948265,2.448348,3.877462,0,3,0.602347,Yes
1.029617,4,3,2.493761,1,0,2.031694,2.671057,Yes
3,3.194542,2.911888,1.72029,1.647154,0,2.270013,1.345817,Yes
2.451558,3.293754,3,3.582467,2.684392,0,2.375316,3.44329,Yes
2.689444,2.413353,2.473896,1.53084,3,0.058732,3,2,Yes
2.387234,3.547861,2.781033,3,2.409729,0.678943,2.374787,3,Yes
1.199056,3.358209,2.066409,4,2,1,3.869467,4.945697,Yes
3.006683,2.549564,2.080047,1.68081,2.274172,0,3,1,Yes
2.813567,3.010211,2.540822,3,3.01418,0,3,2.165172,Yes
3,3.777016,3,1.612469,1,0.964171,2.322,1.407204,Yes
3,2.845,3,4,2.205483,1,2.194132,1.082514,Yes
1,2.694371,3,3.846253,2.289607,0,2.690665,4.090377,Yes
3,1,3,1.373253,3.991626,0.038986,3.460131,3.614349,Yes
3.155295,1,3,2.733563,4,1,3,3.786249,Yes
3.104774,1,1.567899,3.49253,3.198491,0,2.967874,2.83887,Yes
3.231475,1,2.785162,3.389168,3.684333,0,2.120359,2.181199,Yes
2.433875,1.851296,2.022064,1.905532,3.870014,2.829123,2.837846,1.157296,Yes
3,2.663405,3,3.854996,2.878432,0,2.385197,1.354427,Yes
1.991228,4,2.526704,3,3,1.362402,3,6.110949,Yes
3,2.403844,1.306102,3,3.82675,0.734387,3,3.197737,Yes
3,1,1.13736,1.738438,2.703496,0.559638,2.708237,2.686364,Yes
2.328039,3.352913,2,1.897495,2.618362,1.291211,3,1,Yes
2.121866,4,3,3.607488,1.427392,0.646364,3.089562,7,Yes
2.386335,1.214304,1.683702,2.050308,3.34838,0,1.854743,2.349665,Yes
2.398483,1,2.273266,1.158261,2.839146,0,1.704995,0.543442,Yes
3.698514,2.435797,1.419558,3,3,0,2.029888,1.737368,Yes
4,1.772525,2.152666,1.18251,3.406662,1,3.801354,1.966559,Yes
4.8676,2.482672,2,1.47955,2,2.176322,3,5.047046,Yes
3.321154,3.705667,2.448835,3.693892,1.377101,0.073982,3,6.2086,Yes
2.844633,2.745821,3,3.626321,3.465315,0.277824,2,4.241404,Yes
1.763992,3,1.279249,4,2.182185,0,1.886604,1,Yes
3,3,2.581861,4,2.320653,0.483982,1,4.507225,Yes
3,2.540725,3.77182,3.818662,2.532219,0,2,4.824845,Yes
2.370067,3,2.405239,3,2.117482,0.614598,3,6.913712,Yes
2,2.906446,1.33463,2.609546,1.776061,0.173175,3,4.263582,Yes
3.503528,1.248474,2.263187,1,2.988478,1,3.845184,1.724964,Yes
3.565306,3.199358,2.873841,1.02328,3,0,2.225023,8.585529,Yes
2,2.332775,2.784018,1.372117,3.613663,0.237354,3,1.185606,Yes
1,2.730663,3,1,2.06275,0.585808,3,4,Yes
3.32794,3.863248,3,2.382148,4,0.211147,3,3.930989,Yes
3,1.93669,2.231483,2.851318,1.665227,0,3,1.465924,Yes
3,1.760423,2.126994,1.841686,2,0,3,2.124151,Yes
4,1.942771,3,3,3,0.092706,3.405808,9.88949,Yes
4,2.140195,3,2.693596,3,0,1.152859,2.06676,Yes
3.842752,1,3,3,3.85737,0.635996,1.7754,2.382526,Yes
3.514172,1.577396,1.950621,3.918773,3.221516,1.076627,2.896159,3,Yes
2.765907,1.873914,1,1.483253,4,0,2.112183,7,Yes
3.710294,1.953532,2.011769,2.399338,2.830594,0,2.385502,2.052291,Yes
2,2.110924,2,3.66742,3.396505,0,2.410936,9.146011,Yes
3,1.962597,2.891888,2,2.691708,2.571484,3,1,Yes
2.216362,3,1.582662,4,2.3237,0,1.592214,1,Yes
3,1.325692,2.527018,3,4,1,3.745051,1.491366,Yes
2.299159,3,2.02181,2.963746,3,0.779495,2,0.07832,Yes
3,3.159361,3,2,1.075756,2.122858,3.52037,1.051951,Yes
1.434364,3.890166,3,3.621564,1.807021,0,3,6.108939,Yes
3,3.996044,2,1.073833,1,0.828947,2.030296,1.809526,Yes
2.270492,3,2.936931,2.017715,3.567427,1.864733,2.544356,5.125686,Yes
1.349237,2.06052,2.411582,3.225595,3.457969,0.394418,2.733114,5.31643,Yes
2.003947,2.508653,1.681969,1,3.591125,0,2,3.396954,Yes
2.911664,3,2,2,2.843461,0.790893,3.149563,1.365402,Yes
2.191007,1.605891,2,1.923687,1.447166,1.903661,3,1,Yes
1.079219,2.809702,2.218016,3.575004,3.269071,2.893503,2.85698,1.165779,Yes
3,2.513671,2.206856,3.895011,3,1.406005,2.988726,3.542655,Yes
1.170607,1.410521,1.003406,1.189532,1.543461,0.125757,2.153962,2.569908,Yes
1.694202,2.332149,2,1,1,0.539705,1.945183,10.010729,Yes
3,2,3,1.708227,1.685576,1.617616,2.950386,4.818627,Yes
2.05206,2.23454,3,3.198144,1.841488,0,2.698705,8,Yes
2.387197,1.28657,2.504794,2.14578,1,0,2.405309,4.65823,Yes
3.22912,1.891086,2.790181,1.623607,3,1.748607,2.752558,6.467874,Yes
3.47094,2,1.855908,1.331789,3,0.1965,3.428134,1.045609,Yes
2.425447,1.724958,2.05556,1.098982,2.431662,2.619677,1.301018,1.074083,Yes
2.217528,3.023488,2.420846,1.469486,3.186846,1.94028,2.451197,1.760453,Yes
3,3.175763,3.665919,1.580437,3.361118,0,3.129357,1,Yes
3,3.364014,2.212164,1.086092,2.021235,0,3.60462,1,Yes
3.318823,1.842339,2.24938,3.821391,2.645658,2.150937,3.946562,2,Yes
3,3.622052,3,1.593687,3.144093,0,3,2.691467,Yes
1.456757,1.244743,2.22037,1.546372,3,0,3,3.311797,Yes
1.029161,3,2.670446,1.504149,3,0,2,7.588286,Yes
3.564071,1.084296,2.665549,1,3,0.392183,4,2.751318,Yes
2.040572,2.781711,2.646435,3,2.626706,0.917532,3,1.039112,Yes
2.066764,3.013232,3,2.073788,3.9221,0,2.673628,2.191363,Yes
2.015643,2.630104,2,3.350819,3.10605,1,3,14.844001,Yes
2.156417,2.659634,2.825331,4,3.971198,0.596859,2.298301,4,Yes
3,2.838043,2.725162,3.638179,1.549109,0,2,1,Yes
1.48077,2.420434,1.972017,3.566584,2.415597,0,2,7.30411,Yes
3,2.954214,1.10319,2.410832,3.812741,0.657667,3,1.771496,Yes
2.093398,2.058996,2.429571,2.073083,2,0,3.80516,5,Yes
2,3.71774,1.692704,2.558682,3.838685,0.739807,3.522821,4.075222,Yes
3,1.792833,2.243189,2.746672,1.007941,0,3,2.381579,Yes
4,2.715174,3,2.453653,3,0,1.201651,2.082271,Yes
2.59092,3.203917,3,2.979346,3,0.49813,2.916751,4.913198,Yes
1.690244,4,3,3.969233,1,0,3.027594,2.211037,Yes
3.215734,3,2.02527,3.996347,3,0,3.149308,2.492492,Yes
2.675331,3.044029,3,3.542663,3.93655,0.55893,2,9.891972,Yes
3.072301,2,1.027933,3.634682,2.767787,0,2.808232,1,Yes
4,2.693808,2.860217,2.20125,1.100495,0.146737,2.028931,2.376321,Yes
3,2.428698,1.459538,3.141424,2.315356,0,3.15639,1,Yes
3,2.818964,2.63876,2.910265,3,0.799308,3.702598,3.38034,Yes
4.758672,3.004493,2.030122,1.833128,1,0.763195,2.902378,10.831325,Yes
3,2.624209,3.658748,3.344923,3.521809,0.984096,1.944043,2,Yes
3.41084,3.003032,2.960649,3.968653,1.07936,0.748853,2.674278,0.551896,Yes
4,1,3,2.240604,1,0.557668,3,1.97938,Yes
4.124241,3.056632,3.949941,1.016228,1.393542,0.705385,3,4.053015,Yes
3.643804,1.287921,2.030736,3.260082,3.7099,0,3,4.493787,Yes
3.366202,3.985129,1.903948,3.502806,2.242114,1.129242,2.637326,11.219682,Yes
3,4,2.797219,3,2.852252,0,2.198715,2.963935,Yes
4,3.044014,1.424849,3.135185,4,0,2.596358,3.555902,Yes
2,3.001611,1.165668,3.369806,2.29357,1.740115,2.184991,8.648162,Yes
2,3.236838,1.284926,1.752144,3.659536,0.489397,3,4.459152,Yes
