@relation IBM-HR-Employee-Attrition-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Llast-weka.filters.unsupervised.attribute.Remove-R37-38-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute Age numeric
@attribute Attrition {Yes,No}
@attribute BusinessTravel {Travel_Rarely,Travel_Frequently,Non-Travel}
@attribute DailyRate numeric
@attribute Department {Sales,'Research & Development','Human Resources'}
@attribute DistanceFromHome numeric
@attribute Education numeric
@attribute EducationField {'Life Sciences',Other,Medical,Marketing,'Technical Degree','Human Resources'}
@attribute EmployeeCount numeric
@attribute EmployeeNumber numeric
@attribute EnvironmentSatisfaction numeric
@attribute Gender {Female,Male}
@attribute HourlyRate numeric
@attribute JobInvolvement numeric
@attribute JobLevel numeric
@attribute JobRole {'Sales Executive','Research Scientist','Laboratory Technician','Manufacturing Director','Healthcare Representative',Manager,'Sales Representative','Research Director','Human Resources'}
@attribute JobSatisfaction numeric
@attribute MaritalStatus {Single,Married,Divorced}
@attribute MonthlyIncome numeric
@attribute MonthlyRate numeric
@attribute NumCompaniesWorked numeric
@attribute Over18 {Y}
@attribute OverTime {Yes,No}
@attribute PercentSalaryHike numeric
@attribute PerformanceRating numeric
@attribute RelationshipSatisfaction numeric
@attribute StandardHours numeric
@attribute StockOptionLevel numeric
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute YearsInCurrentRole numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute Class_Attrition {Yes,No}

@data
26,No,Travel_Rarely,1066,'Research & Development',2,2,Medical,1,1018,4,Male,32,4,2,'Manufacturing Director',4,Married,5472,3334,1,Y,No,12,3,2,80,0,8,2,3,8,7,1,3,No
22,No,Travel_Rarely,217,'Research & Development',8,1,'Life Sciences',1,1019,2,Male,94,1,1,'Laboratory Technician',1,Married,2451,6881,1,Y,No,15,3,1,80,1,4,3,2,4,3,1,1,No
48,No,Travel_Rarely,277,'Research & Development',6,3,'Life Sciences',1,1022,1,Male,97,2,2,'Healthcare Representative',3,Single,4240,13119,2,Y,No,13,3,4,80,0,19,0,3,2,2,2,2,No
48,No,Travel_Rarely,1355,'Research & Development',4,4,'Life Sciences',1,1024,3,Male,78,2,3,'Healthcare Representative',3,Single,10999,22245,7,Y,No,14,3,2,80,0,27,3,3,15,11,4,8,No
41,No,Travel_Rarely,549,'Research & Development',7,2,Medical,1,1025,4,Female,42,3,2,'Manufacturing Director',3,Single,5003,23371,6,Y,No,14,3,2,80,0,8,6,3,2,2,2,1,No
39,No,Travel_Rarely,466,'Research & Development',1,1,'Life Sciences',1,1026,4,Female,65,2,4,'Manufacturing Director',4,Married,12742,7060,1,Y,No,16,3,3,80,1,21,3,3,21,6,11,8,No
27,No,Travel_Rarely,1055,'Research & Development',2,4,'Life Sciences',1,1027,1,Female,47,3,2,'Manufacturing Director',4,Married,4227,4658,0,Y,No,18,3,2,80,1,4,2,3,3,2,2,2,No
42,No,Travel_Rarely,265,Sales,5,2,Marketing,1,1029,4,Male,90,3,5,Manager,3,Married,18303,7770,6,Y,No,13,3,2,80,0,21,3,4,1,0,0,0,No
50,No,Travel_Rarely,804,'Research & Development',9,3,'Life Sciences',1,1030,1,Male,64,3,1,'Laboratory Technician',4,Married,2380,20165,4,Y,No,18,3,2,80,0,8,5,3,1,0,0,0,No
59,No,Travel_Rarely,715,'Research & Development',2,3,'Life Sciences',1,1032,3,Female,69,2,4,'Manufacturing Director',4,Single,13726,21829,3,Y,Yes,13,3,1,80,0,30,4,3,5,3,4,3,No
37,Yes,Travel_Rarely,1141,'Research & Development',11,2,Medical,1,1033,1,Female,61,1,2,'Healthcare Representative',2,Married,4777,14382,5,Y,No,15,3,1,80,0,15,2,1,1,0,0,0,Yes
55,No,Travel_Frequently,135,'Research & Development',18,4,Medical,1,1034,3,Male,62,3,2,'Healthcare Representative',2,Married,6385,12992,3,Y,Yes,14,3,4,80,2,17,3,3,8,7,6,7,No
38,No,Travel_Rarely,1035,Sales,3,4,'Life Sciences',1,1036,2,Male,42,3,2,'Sales Executive',4,Single,6861,4981,8,Y,Yes,12,3,3,80,0,19,1,3,1,0,0,0,No
26,Yes,Non-Travel,265,Sales,29,2,Medical,1,1037,2,Male,79,1,2,'Sales Executive',1,Single,4969,21813,8,Y,No,18,3,4,80,0,7,6,3,2,2,2,2,Yes
44,No,Travel_Rarely,1448,Sales,28,3,Medical,1,1039,4,Female,53,4,4,'Sales Executive',4,Married,13320,11737,3,Y,Yes,18,3,3,80,1,23,2,3,12,11,11,11,No
50,No,Non-Travel,145,Sales,1,3,'Life Sciences',1,1040,4,Female,95,3,2,'Sales Executive',3,Married,6347,24920,0,Y,No,12,3,1,80,1,19,3,3,18,7,0,13,No
39,No,Travel_Frequently,945,'Research & Development',22,3,Medical,1,1043,4,Female,82,3,3,'Manufacturing Director',1,Single,10880,5083,1,Y,Yes,13,3,3,80,0,21,2,3,21,6,2,8,No
33,No,Non-Travel,1038,Sales,8,1,'Life Sciences',1,1044,2,Female,88,2,1,'Sales Representative',4,Single,2342,21437,0,Y,No,19,3,4,80,0,3,2,2,2,2,2,2,No
45,No,Travel_Rarely,1234,Sales,11,2,'Life Sciences',1,1045,4,Female,90,3,4,Manager,4,Married,17650,5404,3,Y,No,13,3,2,80,1,26,4,4,9,3,1,1,No
32,No,Non-Travel,1109,'Research & Development',29,4,Medical,1,1046,4,Female,69,3,1,'Laboratory Technician',3,Single,4025,11135,9,Y,No,12,3,2,80,0,10,2,3,8,7,7,7,No
34,No,Travel_Rarely,216,Sales,1,4,Marketing,1,1047,2,Male,75,4,2,'Sales Executive',4,Divorced,9725,12278,0,Y,No,11,3,4,80,1,16,2,2,15,1,0,9,No
59,No,Travel_Rarely,1089,Sales,1,2,'Technical Degree',1,1048,2,Male,66,3,3,Manager,4,Married,11904,11038,3,Y,Yes,14,3,3,80,1,14,1,1,6,4,0,4,No
45,No,Travel_Rarely,788,'Human Resources',24,4,Medical,1,1049,2,Male,36,3,1,'Human Resources',2,Single,2177,8318,1,Y,No,16,3,1,80,0,6,3,3,6,3,0,4,No
53,No,Travel_Frequently,124,Sales,2,3,Marketing,1,1050,3,Female,38,2,3,'Sales Executive',2,Married,7525,23537,2,Y,No,12,3,1,80,1,30,2,3,15,7,6,12,No
36,Yes,Travel_Rarely,660,'Research & Development',15,3,Other,1,1052,1,Male,81,3,2,'Laboratory Technician',3,Divorced,4834,7858,7,Y,No,14,3,2,80,1,9,3,2,1,0,0,0,Yes
26,Yes,Travel_Frequently,342,'Research & Development',2,3,'Life Sciences',1,1053,1,Male,57,3,1,'Research Scientist',1,Married,2042,15346,6,Y,Yes,14,3,2,80,1,6,2,3,3,2,1,2,Yes
34,No,Travel_Rarely,1333,Sales,10,4,'Life Sciences',1,1055,3,Female,87,3,1,'Sales Representative',3,Married,2220,18410,1,Y,Yes,19,3,4,80,1,1,2,3,1,1,0,0,No
38,No,Travel_Frequently,1186,'Research & Development',3,4,Other,1,1060,3,Male,44,3,1,'Research Scientist',3,Married,2821,2997,3,Y,No,16,3,1,80,1,8,2,3,2,2,2,2,No
50,No,Travel_Rarely,1464,'Research & Development',2,4,Medical,1,1061,2,Male,62,3,5,'Research Director',3,Married,19237,12853,2,Y,Yes,11,3,4,80,1,29,2,2,8,1,7,7,No
37,No,Travel_Rarely,124,'Research & Development',3,3,Other,1,1062,4,Female,35,3,2,'Healthcare Representative',2,Single,4107,13848,3,Y,No,15,3,1,80,0,8,3,2,4,3,0,1,No
40,No,Travel_Rarely,300,Sales,26,3,Marketing,1,1066,3,Male,74,3,2,'Sales Executive',1,Married,8396,22217,1,Y,No,14,3,2,80,1,8,3,2,7,7,7,5,No
26,No,Travel_Frequently,921,'Research & Development',1,1,Medical,1,1068,1,Female,66,2,1,'Research Scientist',3,Divorced,2007,25265,1,Y,No,13,3,3,80,2,5,5,3,5,3,1,3,No
46,No,Travel_Rarely,430,'Research & Development',1,4,Medical,1,1069,4,Male,40,3,5,'Research Director',4,Divorced,19627,21445,9,Y,No,17,3,4,80,2,23,0,3,2,2,2,2,No
54,No,Travel_Rarely,1082,Sales,2,4,'Life Sciences',1,1070,3,Female,41,2,3,'Sales Executive',3,Married,10686,8392,6,Y,No,11,3,2,80,1,13,4,3,9,4,7,0,No
56,No,Travel_Frequently,1240,'Research & Development',9,3,Medical,1,1071,1,Female,63,3,1,'Research Scientist',3,Married,2942,12154,2,Y,No,19,3,2,80,1,18,4,3,5,4,0,3,No
36,No,Travel_Rarely,796,'Research & Development',12,5,Medical,1,1073,4,Female,51,2,3,'Manufacturing Director',4,Single,8858,15669,0,Y,No,11,3,2,80,0,15,2,2,14,8,7,8,No
55,No,Non-Travel,444,'Research & Development',2,1,Medical,1,1074,3,Male,40,2,4,Manager,1,Single,16756,17323,7,Y,No,15,3,2,80,0,31,3,4,9,7,6,2,No
43,No,Travel_Rarely,415,Sales,25,3,Medical,1,1076,3,Male,79,2,3,'Sales Executive',4,Divorced,10798,5268,5,Y,No,13,3,3,80,1,18,5,3,1,0,0,0,No
20,Yes,Travel_Frequently,769,Sales,9,3,Marketing,1,1077,4,Female,54,3,1,'Sales Representative',4,Single,2323,17205,1,Y,Yes,14,3,2,80,0,2,3,3,2,2,0,2,Yes
21,Yes,Travel_Rarely,1334,'Research & Development',10,3,'Life Sciences',1,1079,3,Female,36,2,1,'Laboratory Technician',1,Single,1416,17258,1,Y,No,13,3,1,80,0,1,6,2,1,0,1,0,Yes
51,Yes,Travel_Rarely,1323,'Research & Development',4,4,'Life Sciences',1,1081,1,Male,34,3,1,'Research Scientist',3,Married,2461,10332,9,Y,Yes,12,3,3,80,3,18,2,4,10,0,2,7,Yes
28,Yes,Non-Travel,1366,'Research & Development',24,2,'Technical Degree',1,1082,2,Male,72,2,3,'Healthcare Representative',1,Single,8722,12355,1,Y,No,12,3,1,80,0,10,2,2,10,7,1,9,Yes
26,No,Travel_Rarely,192,'Research & Development',1,2,Medical,1,1083,1,Male,59,2,1,'Laboratory Technician',1,Married,3955,11141,1,Y,No,16,3,1,80,2,6,2,3,5,3,1,3,No
30,No,Travel_Rarely,1176,'Research & Development',20,3,Other,1,1084,3,Male,85,3,2,'Manufacturing Director',1,Married,9957,9096,0,Y,No,15,3,3,80,1,7,1,2,6,2,0,2,No
41,No,Travel_Rarely,509,'Research & Development',7,2,'Technical Degree',1,1085,2,Female,43,4,1,'Research Scientist',3,Married,3376,18863,1,Y,No,13,3,3,80,0,10,3,3,10,6,0,8,No
38,No,Travel_Rarely,330,'Research & Development',17,1,'Life Sciences',1,1088,3,Female,65,2,3,'Healthcare Representative',3,Married,8823,24608,0,Y,No,18,3,1,80,1,20,4,2,19,9,1,9,No
27,No,Non-Travel,1277,'Research & Development',8,5,'Life Sciences',1,1094,1,Male,87,1,1,'Laboratory Technician',3,Married,4621,5869,1,Y,No,19,3,4,80,3,3,4,3,3,2,1,2,No
55,No,Travel_Frequently,1091,'Research & Development',2,1,'Life Sciences',1,1096,4,Male,65,3,3,'Manufacturing Director',2,Married,10976,15813,3,Y,No,18,3,2,80,1,23,4,3,3,2,1,2,No
28,No,Travel_Rarely,857,'Research & Development',10,3,Other,1,1097,3,Female,59,3,2,'Research Scientist',3,Single,3660,7909,3,Y,No,13,3,4,80,0,10,4,4,8,7,1,7,No
44,Yes,Travel_Rarely,1376,'Human Resources',1,2,Medical,1,1098,2,Male,91,2,3,'Human Resources',1,Married,10482,2326,9,Y,No,14,3,4,80,1,24,1,3,20,6,3,6,Yes
33,No,Travel_Rarely,654,'Research & Development',5,3,'Life Sciences',1,1099,4,Male,34,2,3,'Healthcare Representative',4,Divorced,7119,21214,4,Y,No,15,3,3,80,1,9,2,3,3,2,1,2,No
28,No,Travel_Rarely,895,'Research & Development',15,2,'Life Sciences',1,1102,1,Male,50,3,1,'Laboratory Technician',3,Divorced,2207,22482,1,Y,No,16,3,4,80,1,4,5,2,4,2,2,2,No
34,No,Travel_Frequently,618,'Research & Development',3,1,'Life Sciences',1,1103,1,Male,45,3,2,'Healthcare Representative',4,Single,7756,22266,0,Y,No,17,3,3,80,0,7,1,2,6,2,0,4,No
37,No,Travel_Rarely,309,Sales,10,4,'Life Sciences',1,1105,4,Female,88,2,2,'Sales Executive',4,Divorced,6694,24223,2,Y,Yes,14,3,3,80,3,8,5,3,1,0,0,0,No
25,Yes,Travel_Rarely,1219,'Research & Development',4,1,'Technical Degree',1,1106,4,Male,32,3,1,'Laboratory Technician',4,Married,3691,4605,1,Y,Yes,15,3,2,80,1,7,3,4,7,7,5,6,Yes
28,Yes,Travel_Frequently,1009,'Research & Development',1,3,Medical,1,1111,1,Male,45,2,1,'Laboratory Technician',2,Divorced,2596,7160,1,Y,No,15,3,1,80,2,1,2,3,1,0,0,0,Yes
50,Yes,Travel_Frequently,959,Sales,1,4,Other,1,1113,4,Male,81,3,2,'Sales Executive',3,Single,4728,17251,3,Y,Yes,14,3,4,80,0,5,4,3,0,0,0,0,Yes
33,No,Travel_Frequently,970,Sales,7,3,'Life Sciences',1,1114,4,Female,30,3,2,'Sales Executive',2,Married,4302,13401,0,Y,No,17,3,3,80,1,4,3,3,3,2,0,2,No
34,No,Non-Travel,697,'Research & Development',3,4,'Life Sciences',1,1115,3,Male,40,2,1,'Research Scientist',4,Married,2979,22478,3,Y,No,17,3,4,80,3,6,2,3,0,0,0,0,No
45,No,Non-Travel,1050,Sales,9,4,'Life Sciences',1,1117,2,Female,65,2,2,'Sales Executive',3,Married,5593,17970,1,Y,No,13,3,4,80,1,15,2,3,15,10,4,12,No
52,No,Travel_Rarely,994,'Research & Development',7,4,'Life Sciences',1,1118,2,Male,87,3,3,'Healthcare Representative',2,Single,10445,15322,7,Y,No,19,3,4,80,0,18,4,3,8,6,4,0,No
38,No,Travel_Rarely,770,Sales,10,4,Marketing,1,1119,3,Male,73,2,3,'Sales Executive',3,Divorced,8740,5569,0,Y,Yes,14,3,2,80,2,9,2,3,8,7,2,7,No
28,No,Travel_Rarely,950,'Research & Development',3,3,Medical,1,1121,4,Female,93,3,3,'Manufacturing Director',2,Divorced,7655,8039,0,Y,No,17,3,2,80,3,10,3,2,9,7,1,7,No
46,No,Travel_Rarely,406,Sales,3,1,Marketing,1,1124,1,Male,52,3,4,Manager,3,Married,17465,15596,3,Y,No,12,3,4,80,1,23,3,3,12,9,4,9,No
38,No,Travel_Rarely,130,Sales,2,2,Marketing,1,1125,4,Male,32,3,3,'Sales Executive',2,Single,7351,20619,7,Y,No,16,3,3,80,0,10,2,3,1,0,0,0,No
43,No,Travel_Frequently,1082,'Research & Development',27,3,'Life Sciences',1,1126,3,Female,83,3,3,'Manufacturing Director',1,Married,10820,11535,8,Y,No,11,3,3,80,1,18,1,3,8,7,0,1,No
39,Yes,Travel_Frequently,203,'Research & Development',2,3,'Life Sciences',1,1127,1,Male,84,3,4,'Healthcare Representative',4,Divorced,12169,13547,7,Y,No,11,3,4,80,3,21,4,3,18,7,11,5,Yes
40,No,Travel_Rarely,1308,'Research & Development',14,3,Medical,1,1128,3,Male,44,2,5,'Research Director',3,Single,19626,17544,1,Y,No,14,3,1,80,0,21,2,4,20,7,4,9,No
21,No,Travel_Rarely,984,'Research & Development',1,1,'Technical Degree',1,1131,4,Female,70,2,1,'Research Scientist',2,Single,2070,25326,1,Y,Yes,11,3,3,80,0,2,6,4,2,2,2,2,No
39,No,Non-Travel,439,'Research & Development',9,3,'Life Sciences',1,1132,3,Male,70,3,2,'Laboratory Technician',2,Single,6782,8770,9,Y,No,15,3,3,80,0,9,2,2,5,4,0,3,No
31,No,Travel_Frequently,793,Sales,20,3,'Life Sciences',1,1135,3,Male,67,4,1,'Sales Representative',4,Married,2791,21981,0,Y,No,12,3,1,80,1,3,4,3,2,2,2,2,No
28,No,Travel_Rarely,1451,'Research & Development',2,1,'Life Sciences',1,1136,1,Male,67,2,1,'Research Scientist',2,Married,3201,19911,0,Y,No,17,3,1,80,0,6,2,1,5,3,0,4,No
35,No,Travel_Frequently,1182,Sales,11,2,Marketing,1,1137,4,Male,54,3,2,'Sales Executive',4,Divorced,4968,18500,1,Y,No,11,3,4,80,1,5,3,3,5,2,0,2,No
49,No,Travel_Rarely,174,Sales,8,4,'Technical Degree',1,1138,4,Male,56,2,4,'Sales Executive',2,Married,13120,11879,6,Y,No,17,3,2,80,1,22,3,3,9,8,2,3,No
34,No,Travel_Frequently,1003,'Research & Development',2,2,'Life Sciences',1,1140,4,Male,95,3,2,'Manufacturing Director',3,Single,4033,15834,2,Y,No,11,3,4,80,0,5,3,2,3,2,0,2,No
29,No,Travel_Frequently,490,'Research & Development',10,3,'Life Sciences',1,1143,4,Female,61,3,1,'Research Scientist',2,Divorced,3291,17940,0,Y,No,14,3,4,80,2,8,2,2,7,5,1,1,No
42,No,Travel_Rarely,188,'Research & Development',29,3,Medical,1,1148,2,Male,56,1,2,'Laboratory Technician',4,Single,4272,9558,4,Y,No,19,3,1,80,0,16,3,3,1,0,0,0,No
29,No,Travel_Rarely,718,'Research & Development',8,1,Medical,1,1150,2,Male,79,2,2,'Manufacturing Director',4,Married,5056,17689,1,Y,Yes,15,3,3,80,1,10,2,2,10,7,1,2,No
38,No,Travel_Rarely,433,'Human Resources',1,3,'Human Resources',1,1152,3,Male,37,4,1,'Human Resources',3,Married,2844,6004,1,Y,No,13,3,4,80,1,7,2,4,7,6,5,0,No
28,No,Travel_Frequently,773,'Research & Development',6,3,'Life Sciences',1,1154,3,Male,39,2,1,'Research Scientist',3,Divorced,2703,22088,1,Y,Yes,14,3,4,80,1,3,2,3,3,1,0,2,No
18,Yes,Non-Travel,247,'Research & Development',8,1,Medical,1,1156,3,Male,80,3,1,'Laboratory Technician',3,Single,1904,13556,1,Y,No,12,3,4,80,0,0,0,3,0,0,0,0,Yes
33,Yes,Travel_Rarely,603,Sales,9,4,Marketing,1,1157,1,Female,77,3,2,'Sales Executive',1,Single,8224,18385,0,Y,Yes,17,3,1,80,0,6,3,3,5,2,0,3,Yes
41,No,Travel_Rarely,167,'Research & Development',12,4,'Life Sciences',1,1158,2,Male,46,3,1,'Laboratory Technician',4,Married,4766,9051,3,Y,Yes,11,3,1,80,1,6,4,3,1,0,0,0,No
31,Yes,Travel_Frequently,874,'Research & Development',15,3,Medical,1,1160,3,Male,72,3,1,'Laboratory Technician',3,Married,2610,6233,1,Y,No,12,3,3,80,1,2,5,2,2,2,2,2,Yes
37,No,Travel_Rarely,367,'Research & Development',25,2,Medical,1,1161,3,Female,52,2,2,'Healthcare Representative',4,Divorced,5731,17171,7,Y,No,13,3,3,80,2,9,2,3,6,2,1,3,No
27,No,Travel_Rarely,199,'Research & Development',6,3,'Life Sciences',1,1162,4,Male,55,2,1,'Research Scientist',3,Married,2539,7950,1,Y,No,13,3,3,80,1,4,0,3,4,2,2,2,No
35,No,Travel_Rarely,528,'Human Resources',8,4,'Technical Degree',1,1164,3,Male,100,3,1,'Human Resources',3,Single,4323,7108,1,Y,No,17,3,2,80,0,6,2,1,5,4,1,4,No
29,Yes,Travel_Rarely,408,Sales,23,1,'Life Sciences',1,1165,4,Female,45,2,3,'Sales Executive',1,Married,7336,11162,1,Y,No,13,3,1,80,1,11,3,1,11,8,3,10,Yes
40,No,Travel_Frequently,593,'Research & Development',9,4,Medical,1,1166,2,Female,88,3,3,'Research Director',3,Single,13499,13782,9,Y,No,17,3,3,80,0,20,3,2,18,7,2,13,No
42,No,Travel_Rarely,647,Sales,4,4,Marketing,1,1171,2,Male,45,3,2,'Sales Executive',1,Single,5155,2253,7,Y,No,13,3,4,80,0,9,3,4,6,4,1,5,No
35,No,Travel_Rarely,982,'Research & Development',1,4,Medical,1,1172,4,Male,58,2,1,'Laboratory Technician',3,Married,2258,16340,6,Y,No,12,3,2,80,1,10,2,3,8,0,1,7,No
28,Yes,Travel_Rarely,1485,'Research & Development',12,1,'Life Sciences',1,1175,3,Female,79,3,1,'Laboratory Technician',4,Married,2515,22955,1,Y,Yes,11,3,4,80,0,1,4,2,1,1,0,0,Yes
30,No,Travel_Rarely,852,Sales,10,3,Marketing,1,1179,3,Male,72,2,2,'Sales Executive',3,Married,6578,2706,1,Y,No,18,3,1,80,1,10,3,3,10,3,1,4,No
40,No,Travel_Frequently,902,'Research & Development',26,2,Medical,1,1180,3,Female,92,2,2,'Research Scientist',4,Married,4422,21203,3,Y,Yes,13,3,4,80,1,16,3,1,1,1,0,0,No
35,No,Travel_Rarely,819,'Research & Development',2,3,'Life Sciences',1,1182,3,Male,44,2,3,'Manufacturing Director',2,Divorced,10274,19588,2,Y,No,18,3,2,80,1,15,2,4,7,7,6,4,No
35,No,Travel_Frequently,636,'Research & Development',4,4,Other,1,1185,4,Male,47,2,1,'Laboratory Technician',4,Married,2376,26537,1,Y,No,13,3,2,80,1,2,2,4,2,2,2,2,No
43,Yes,Travel_Rarely,1372,Sales,9,3,Marketing,1,1188,1,Female,85,1,2,'Sales Executive',3,Single,5346,9489,8,Y,No,13,3,2,80,0,7,2,2,4,3,1,3,Yes
32,No,Non-Travel,862,Sales,2,1,'Life Sciences',1,1190,3,Female,76,3,1,'Sales Representative',1,Divorced,2827,14947,1,Y,No,12,3,3,80,3,1,3,3,1,0,0,0,No
56,No,Travel_Rarely,718,'Research & Development',4,4,'Technical Degree',1,1191,4,Female,92,3,5,Manager,1,Divorced,19943,18575,4,Y,No,13,3,4,80,1,28,2,3,5,2,4,2,No
29,No,Travel_Rarely,1401,'Research & Development',6,1,Medical,1,1192,2,Female,54,3,1,'Laboratory Technician',4,Married,3131,26342,1,Y,No,13,3,1,80,1,10,5,3,10,8,0,8,No
45,No,Travel_Rarely,1457,'Research & Development',7,3,Medical,1,1195,1,Female,83,3,1,'Research Scientist',3,Married,4477,20100,4,Y,Yes,19,3,3,80,1,7,2,2,3,2,0,2,No
37,No,Travel_Rarely,977,'Research & Development',1,3,'Life Sciences',1,1196,4,Female,56,2,2,'Manufacturing Director',4,Married,6474,9961,1,Y,No,13,3,2,80,1,14,2,2,14,8,3,11,No
20,No,Travel_Rarely,805,'Research & Development',3,3,'Life Sciences',1,1198,1,Male,87,2,1,'Laboratory Technician',3,Single,3033,12828,1,Y,No,12,3,1,80,0,2,2,2,2,2,1,2,No
44,Yes,Travel_Rarely,1097,'Research & Development',10,4,'Life Sciences',1,1200,3,Male,96,3,1,'Research Scientist',3,Single,2936,10826,1,Y,Yes,11,3,3,80,0,6,4,3,6,4,0,2,Yes
53,No,Travel_Rarely,1223,'Research & Development',7,2,Medical,1,1201,4,Female,50,3,5,Manager,3,Divorced,18606,18640,3,Y,No,18,3,2,80,1,26,6,3,7,7,4,7,No
29,No,Travel_Rarely,942,'Research & Development',15,1,'Life Sciences',1,1202,2,Female,69,1,1,'Research Scientist',4,Married,2168,26933,0,Y,Yes,18,3,1,80,1,6,2,2,5,4,1,3,No
22,Yes,Travel_Frequently,1256,'Research & Development',3,4,'Life Sciences',1,1203,3,Male,48,2,1,'Research Scientist',4,Married,2853,4223,0,Y,Yes,11,3,2,80,1,1,5,3,0,0,0,0,Yes
44,No,Non-Travel,111,'Research & Development',17,3,'Life Sciences',1,1206,4,Male,74,1,1,'Research Scientist',3,Single,2290,4279,2,Y,No,13,3,4,80,0,6,3,3,0,0,0,0,No
33,No,Travel_Rarely,147,'Human Resources',2,3,'Human Resources',1,1207,2,Male,99,3,1,'Human Resources',3,Married,3600,8429,1,Y,No,13,3,4,80,1,5,2,3,5,4,1,4,No
41,Yes,Non-Travel,906,'Research & Development',5,2,'Life Sciences',1,1210,1,Male,95,2,1,'Research Scientist',1,Divorced,2107,20293,6,Y,No,17,3,1,80,1,5,2,1,1,0,0,0,Yes
30,No,Travel_Rarely,1329,Sales,29,4,'Life Sciences',1,1211,3,Male,61,3,2,'Sales Executive',1,Divorced,4115,13192,8,Y,No,19,3,3,80,3,8,3,3,4,3,0,3,No
40,No,Travel_Frequently,1184,Sales,2,4,Medical,1,1212,2,Male,62,3,2,'Sales Executive',2,Married,4327,25440,5,Y,No,12,3,4,80,3,5,2,3,0,0,0,0,No
28,No,Travel_Rarely,1179,'Research & Development',19,4,Medical,1,1216,4,Male,78,2,1,'Laboratory Technician',1,Married,3196,12449,1,Y,No,12,3,3,80,3,6,2,3,6,5,3,3,No
46,No,Travel_Rarely,1450,'Research & Development',15,2,'Life Sciences',1,1217,4,Male,52,3,5,'Research Director',2,Married,19081,10849,5,Y,No,11,3,1,80,1,25,2,3,4,2,0,3,No
35,No,Travel_Rarely,1361,Sales,17,4,'Life Sciences',1,1218,3,Male,94,3,2,'Sales Executive',1,Married,8966,21026,3,Y,Yes,15,3,4,80,3,15,2,3,7,7,1,7,No
24,Yes,Travel_Rarely,984,'Research & Development',17,2,'Life Sciences',1,1219,4,Female,97,3,1,'Laboratory Technician',2,Married,2210,3372,1,Y,No,13,3,1,80,1,1,3,1,1,0,0,0,Yes
33,No,Travel_Frequently,1146,Sales,25,3,Medical,1,1220,2,Female,82,3,2,'Sales Executive',3,Married,4539,4905,1,Y,No,12,3,1,80,1,10,3,2,10,7,0,1,No
36,No,Travel_Rarely,917,'Research & Development',6,4,'Life Sciences',1,1221,3,Male,60,1,1,'Laboratory Technician',3,Divorced,2741,6865,1,Y,No,14,3,3,80,1,7,4,3,7,7,1,7,No
30,No,Travel_Rarely,853,'Research & Development',7,4,'Life Sciences',1,1224,3,Male,49,3,2,'Laboratory Technician',3,Divorced,3491,11309,1,Y,No,13,3,1,80,3,10,4,2,10,7,8,9,No
20,No,Travel_Rarely,654,Sales,21,3,Marketing,1,1226,3,Male,43,4,1,'Sales Representative',4,Single,2678,5050,1,Y,No,17,3,4,80,0,2,2,3,2,1,2,2,No
46,No,Travel_Rarely,150,'Research & Development',2,4,'Technical Degree',1,1228,4,Male,60,3,2,'Manufacturing Director',4,Divorced,7379,17433,2,Y,No,11,3,3,80,1,12,3,2,6,3,1,4,No
42,No,Non-Travel,179,'Human Resources',2,5,Medical,1,1231,4,Male,79,4,2,'Human Resources',1,Married,6272,12858,7,Y,No,16,3,1,80,1,10,3,4,4,3,0,3,No
60,No,Travel_Rarely,696,Sales,7,4,Marketing,1,1233,2,Male,52,4,2,'Sales Executive',4,Divorced,5220,10893,0,Y,Yes,18,3,2,80,1,12,3,3,11,7,1,9,No
32,No,Travel_Frequently,1316,'Research & Development',2,2,'Life Sciences',1,1235,4,Female,38,3,2,'Research Scientist',3,Single,4998,2338,4,Y,Yes,14,3,4,80,0,10,2,3,8,7,0,7,No
33,No,Travel_Rarely,117,'Research & Development',9,3,Medical,1,1238,1,Male,60,3,1,'Research Scientist',4,Married,2781,6311,0,Y,No,13,3,2,80,1,15,5,3,14,10,4,10,No
40,No,Travel_Rarely,107,Sales,10,3,'Technical Degree',1,1239,2,Female,84,2,2,'Sales Executive',2,Divorced,6852,11591,7,Y,No,12,3,2,80,1,7,2,4,5,1,1,3,No
25,No,Travel_Rarely,1356,Sales,10,4,'Life Sciences',1,1240,3,Male,57,3,2,'Sales Executive',4,Single,4950,20623,0,Y,No,14,3,2,80,0,5,4,3,4,3,1,1,No
42,No,Travel_Frequently,458,'Research & Development',26,5,Medical,1,1242,1,Female,60,3,3,'Research Director',1,Married,13191,23281,3,Y,Yes,17,3,3,80,0,20,6,3,1,0,0,0,No
