sentiment,Text,,,,,,,,,,,,,Column Labels,,,
-1, Wow Yall needa step it up Apple RT heynyla Music and snapchat at the same damn time Thank you Note4 ,,,,,,,,,,,,,-1,0,1,Grand Total
-1, Siri Apple SteveJobs alarmthatdidntgooff this is disrespectful ,,,,,,,,,,,,,,,,
0, RT Amdocs Top iOS apps of 2014 Apple names Elevate Brain Training as 1 iPhone app httptcotyRNmYGnDP ,,,,,,,,,,,,,,,,
-1, NO apple NO When I make an I phone Album I WANT IT TO STAY ON PHONE not be removed when camera roll cleared GET IT TOGETHER ,,,,,,,,,,,,,,,,
0, AppStore apple When is the release for the new infiniteflight update in the appstore? flyingdevstudio says the Update is in your hands ,,,,,,,,,,,,,,,,
-1, morrisjordan42 I would say it had a good life but fuck man little guy was only like 3 mths old fck u apple and ur piece of shit chargers ,,,,,,,,,,,,,,,,
0, Pegraton may Gain Orders for 50 of the 2015 47 iPhone 6S AAPL aapl httptcojjvkpoa01X ,,,,,,,,,,,,,,,,
-1, Protesters in the Apple store pretty much sums it up Its like a gravitational pull Shocked it took this long Next stop? STARBUCKS ,,,,,,,,,,,,,,,,
1, At the Genius Barapple store  Very helpful AAPL staff and whoever helped me was genius Comp wking again httptcoGBPQdl8eCN ,,,,,,,,,,,,,,,,
-1, I hate my MacBook now Fuck this update and fuck you apple ,,,,,,,,,,,,,,,,
1, Apple conclusion  Best client service ever ,,,,,,,,,,,,,,,,
-1, jimmymujaj Apple it works again fucker not being a hoe if its only one person SMD ,,,,,,,,,,,,,,,,
1, My phone just charged 23 in 45 seconds thanks Apple ,,,,,,,,,,,,,,,,
-1, apple please stop notifying me to upgrade iCloud storage because I do not use iCloud enough to upgrade it nor would I pay for such things ,,,,,,,,,,,,,,,,
0, Apple recruiting luxury executives for iwatch Ill make it easy for them just get celebrities to wear them ,,,,,,,,,,,,,,,,
0, contact Apple RT mrstiffanyanne anybody that sold an iPhone before? i have questions amp cant find them on Google ,,,,,,,,,,,,,,,,
-1, hey apple my 5s keeps glitching  ,,,,,,,,,,,,,,,,
-1, iPhone6 fell 2 ft Screen shattered like it was blown up apple wants an additional 109 to fix it Maybe make a product that lasts? ,,,,,,,,,,,,,,,,
0, RT HorseshoeBmore Holiday Giveaway To ensure you stay in touch on the go ck out brands like Apple amazon httptcojMAL4mOWmz ,,,,,,,,,,,,,,,,
0, Can I turn auto correct off apple ? ,,,,,,,,,,,,,,,,
0, Apple Stores hosting Hour of Code programming workshops on December 11th  httptcolDmfG6nQES AAPL Tokyo ,,,,,,,,,,,,,,,,
0, brooklyn is changing apple store is heading to BK ,,,,,,,,,,,,,,,,
0, BloombergTV  Steve Wozniak on What Really Happened in Jobs Garage httptcoM5Pl6xLjuV via BloombergTV Apple aapl ,,,,,,,,,,,,,,,,
-1,  apple diag and support suck a lot It says cannot connect server try again then ticket not found disgusting httptcoARyYbxOdox ,,,,,,,,,,,,,,,,
-1, my phone keeps restarting on its own apple dont play me like that??? ,,,,,,,,,,,,,,,,
0, Looking down on the crazy George Street Sydney in the rain from the Apple Genius Bar httptcofw8BCu1DOD httptcodlrmFkDKHh ,,,,,,,,,,,,,,,,
0, Sony and Apple iTunesMusic  AppStore timcook need to combine their efforts and  make one solid system accessible from any device ,,,,,,,,,,,,,,,,
0, Is Apple Inc Losing the 5 Billion EdTech Market? AAPL aapl httptcolOLDOTy7jt ,,,,,,,,,,,,,,,,
0, httptcoD2TeKpbQyw Apple Default search engine ,,,,,,,,,,,,,,,,
0, Sales Of The iPhone 6 Plus Have Settled A LongRunning Argument About Apple And Smartphones AAPL aapl httptco4oaDjSZwg9 ,,,,,,,,,,,,,,,,
1, Love the Apple is supporting HourOfCode with workshops  httptcoWP8D0FNjNu ,,,,,,,,,,,,,,,,
-1, Changing words that arent even misspelled like where do they REALLY do that at???? I would really like to know apple ,,,,,,,,,,,,,,,,
0, mkt Final AAPL PutCallRatios for Thursday December 4 2014  httptcopSiLO8mepA ,,,,,,,,,,,,,,,,
0, daulfn AppleUK Apple Its what most of our devs do ,,,,,,,,,,,,,,,,
1, OneRepublic Apple THIS IS SO BEAUTIFUL ,,,,,,,,,,,,,,,,
-1, Apple iCloud Family inapp purchase approvals broken since Friday? You might have some very unhappy moneylosing developers come Monday ,,,,,,,,,,,,,,,,
1, apple Excellent customer service thanks Ian applestorecoventgarden ,,,,,,,,,,,,,,,,
-1, sometimesboring also wtf apple i dont even live in kirkby ,,,,,,,,,,,,,,,,
0, In firstever Apple Watch hackathon apps and challenges emerge AAPL aapl httptcormYFzMIE5K ,,,,,,,,,,,,,,,,
0, Follow all developments in the AAPL DRM trial that is finally underway httpstcoW9mVJwhtNQ ,,,,,,,,,,,,,,,,
-1, that yosemite update is so annoying i regret installing it  apple sort out your shit bro ,,,,,,,,,,,,,,,,
-1, RT WillliamLemar RT JustPoetic Why the fuck is there a recently deleted photo album? Apple ,,,,,,,,,,,,,,,,
0, We know that Apple have a strong supply chain but what is it that makes it that way? SupplyChain Operations httptcoPk95RjYhcV ,,,,,,,,,,,,,,,,
0, Apple Inc and Facebook Clash Neither Is Wrong  The Motley Fool fb aapl httptcoAAy60rtQFC ,,,,,,,,,,,,,,,,
-1, Cheeky apple  Very cheeky No dice though You cant own App Store its a description not a product  httptco8L7VeRuzfs ,,,,,,,,,,,,,,,,
1, Got to hear about the new patent by apple  and thats a quite innovative idea apple  The mobile screen will never break in future ,,,,,,,,,,,,,,,,
0, BloombergTV  Wozniak What Really Happened in SteveJobs Garage httptcodmNbZukzoz aapl ,,,,,,,,,,,,,,,,
-1, waiting a week for a DUNS number is preventing me from being able to build and release a clients iOS app apple why do you hate me so? ,,,,,,,,,,,,,,,,
-1, RT hypebot Steve Jobs Deposition in iPod Lawsuit Could Cost Apple 1 Billion httptco7vDXwvxKpe MusicBiz MusicIndustry Apple ,,,,,,,,,,,,,,,,
-1, Thought this just happened to me Why I HATE apple to this day httptco19G2JYZOGI via rollingstone ,,,,,,,,,,,,,,,,
-1, apple is laughing its pants off with the school programs here in Australia They even manage to wringe money out of the poorest of people ,,,,,,,,,,,,,,,,
0, NYC EricGarner protesters stage Die In Apple store httptco5y1RRbx0SC LIVE RebelutionaryZ BlackLivesMatters ShutItDown ,,,,,,,,,,,,,,,,
0, Foreign Currency Exchange May Be A Headwind For Apple AAPL httptcorMPiMkvLsH AAPL ,,,,,,,,,,,,,,,,
0, In case of accident have you downloaded our free Apple app yet Winnipeg httptcoxFhk6vBQnl ,,,,,,,,,,,,,,,,
-1, timcook That rage when dealing Apple Geniuses when they maintain its not a known issue when a simple google search shows its a big 1 ,,,,,,,,,,,,,,,,
0, CNBCTV  Citis Apple optimism aapl httptcoCGRe961fib ,,,,,,,,,,,,,,,,
0, Dan Nathan How To Profit From Apple Stock?  AAPL aapl httptcowkEoflid2Q ,,,,,,,,,,,,,,,,
1, Thank you Apple for fixing the Swift sourcekit crashes in XCode  Life is better now httptcoNbRWTTcZ35 ,,,,,,,,,,,,,,,,
-1, Fucking goddamn stupid apple iTunes  ur too fucked up JustSayin iTunes ,,,,,,,,,,,,,,,,
-1, Is it just me who feels Yosemite eats more battery amp Resource than Mavericks?  Apple are you reading this? ,,,,,,,,,,,,,,,,
-1, whereiscooldude CyrusTVirus Apple wait no im okay here but yeah actually we should burn it down ,,,,,,,,,,,,,,,,
0, How many of apples top apps of 2014 do you have downloaded on your phone? httptcoBTOgs1cDGc ,,,,,,,,,,,,,,,,
1, So cool Apple stores will host free Hour of Code workshops on Dec 11 to promote computer science httptcoHrOHssVtK1 tech ,,,,,,,,,,,,,,,,
-1, apple why did you make it so difficult to get help with your products?  I just wasted 45 minutes of my life online and still am nowhere ,,,,,,,,,,,,,,,,
-1, Currently on hold with Apple in Cupertino to try to set up a Genius Bar appointment in Madrid dontask ,,,,,,,,,,,,,,,,
0, CadeRageous Thx RT Apple Own 2600 digital languages IP  NEW internet Leader10 of cost of DIY googlenexus httptcosQv0FmaPGO ,,,,,,,,,,,,,,,,
-1, I dont know what youre trying to do apple but phone updates are turned off Thanks for letting me aware by error httptcoyMyoY61hz5 ,,,,,,,,,,,,,,,,
-1, YES  RT garrettwollman No Apple dont remind me tomorrow Just fing TELL ME what the updates you want to install actually ARE ,,,,,,,,,,,,,,,,
0, RT Sjado Listen2Lena 3x bonus airmiles Apple right now airmilesshops ,,,,,,,,,,,,,,,,
0, Apple now is your chance with Apple TV  Verizon FIOS is going downhill fast  They are now using crappy plastic STBs with no displays ,,,,,,,,,,,,,,,,
-1, These Damn Apple Commercials Are Getting Worse and Worse ,,,,,,,,,,,,,,,,
-1, apple MacMail on OS X Yosemite is really giving me a hard time Is there an alternative email program out there? YosemiteProblems ,,,,,,,,,,,,,,,,
0, apple should buy nintendo and sega Theyd get emulation characters game contentportfolios brand recognition and developer contacts ,,,,,,,,,,,,,,,,
1, Yeeaaayyyawesome OS X Yosemite 10101 roccckkkssss m httpstcocK8wPnN91V satanoppa apple ,,,,,,,,,,,,,,,,
0, Russia is selling its banned SteveJobs tribute statue  CultofMac httptcoRPsHWCAr3s Apple AAPL iPhone memorial bastards ,,,,,,,,,,,,,,,,
0, Seems similar to Apple or Google doing a cloud backup of my pictures OnlineFootprint ModicumOfPrudence ,,,,,,,,,,,,,,,,
0, Lol  RT MsBiAnCaBiSa MhDaDon Apple I havent decided yet I might get bourgeois about it ,,,,,,,,,,,,,,,,
-1, fucking apple are memer FAGGOTS httptcow8hbpxTRCJ ,,,,,,,,,,,,,,,,
-1, And how about kids?  Do parents need to monitor the Apple power cords daily to make sure they are still safe?  AppleCordFire ,,,,,,,,,,,,,,,,
0, Will Apple Incs Profit Margin Continue Upward?  The Motley Fool aapl httptcooSlDAHbkJP ,,,,,,,,,,,,,,,,
0, Hey apple let us get some Star Wars action on iTunes ,,,,,,,,,,,,,,,,
-1, RT BGPublic Even MORE reason for Apple to stop using benzene in its manufacturing httptcoNjdYqwfVAE ,,,,,,,,,,,,,,,,
-1, As a die hard Apple customer I must say I am truly displeased with the customer service I was given today badservice Apple ,,,,,,,,,,,,,,,,
0, nickruz4 Apple I cant I just got a new phone  ,,,,,,,,,,,,,,,,
1, Thank you apple AppleSantaMonica for fixing my friends phone in less than 2 hours free of charge You guys are the best ,,,,,,,,,,,,,,,,
0, Winter can be scary but you can stay safe Winnipeg with our free Apple app httptcowYJVGqW6qT ,,,,,,,,,,,,,,,,
0, AAPL10 Steve Jobs emails you need to readhttptco82G1kL94tx ,,,,,,,,,,,,,,,,
-1, Imovie screws up my project yet again I really hate apple ,,,,,,,,,,,,,,,,
0, Apple Pay And Services Lead To Price Target Upgrade For Apple Inc  AAPL aaplhttptcoOt41TSjQlG ,,,,,,,,,,,,,,,,
-1, 90 nd i aint even leave the house yet apple water u doin fam ,,,,,,,,,,,,,,,,
0, Apple Facing A Challenge From Googles Android AAPL aapl httptcompcU3cC4fM ,,,,,,,,,,,,,,,,
0, The rumoured oppo R8207 looks very similar to a certain Apple iPhone6 httptcoeSUoXuE4lr ,,,,,,,,,,,,,,,,
0, OneRepublic Apple does pilot fly with us?  ,,,,,,,,,,,,,,,,
-1, DUNS4Apple sashametro Apple Your definition of easy is warped Thanks for the useless corporate speak ,,,,,,,,,,,,,,,,
0, Pacific Crests Apple Analyst Reiterates Selling Some Shares  Forbes aapl httptco4WRGdhxi0G ,,,,,,,,,,,,,,,,
1, JonFavreau movie chef so original amp well executed Reminded me of the days Steve Jobs dreaming up apple and then created the iPhone ,,,,,,,,,,,,,,,,
0, AAPLBuzz Stocks Apple Inc AAPL RadioShack Corporation and dELiAs IhttptcoOgEzr09gUL ,,,,,,,,,,,,,,,,
0, DelenaNian4eva Apple chill? ,,,,,,,,,,,,,,,,
-1, My fix for syncdefaultsd crashing every five minutes and losing preference settings keep System Preferences open Apple ,,,,,,,,,,,,,,,,
0, Apple was fighting a never ending battle against hackers of iTunes says chief Eddy Cue in antitrust trial httptcoOlmqSV8R0H ,,,,,,,,,,,,,,,,
-1, Guys at Apple is this serious? Yosemite full of stupid and ugly bugs Feeling sad cc timcooktherealjonyive httptco42Mjc3SsJE ,,,,,,,,,,,,,,,,
0, New Apple Apple iPhone with 4in screen for one Sunday 7 December httptcocBdPX3qCVh ,,,,,,,,,,,,,,,,
-1, I have to be honest My once great fanaticism for Apple is turning into an equally great dislike ,,,,,,,,,,,,,,,,
-1, my iphone 6 FINALLY came after almost 3 weeks dont think Ill forget this apple ,,,,,,,,,,,,,,,,
0, YouTube Apple TV App Updated With Streamlined Interface Video Advertisements httptco6AzEBmp83T AAPL ,,,,,,,,,,,,,,,,
0, Apple Plans to Launch iPhone 6 Mini Version in 2015  AAPL aapl httptcoCIvVif64xC ,,,,,,,,,,,,,,,,
-1, Danger* but ok Apple wanna fuck with me ,,,,,,,,,,,,,,,,
1, iPhone6 sales success gives Apple Apple best ever UK market position Thursday 4 December httptcoHfvAuOzsoX ,,,,,,,,,,,,,,,,
0, iPhone 7 Release Date With Top 10 Most Needed Features AAPL aapl httptco6jmAQkj3rj ,,,,,,,,,,,,,,,,
-1, Apple TV fades away in streaming video player market  Apple vod streaming httptco5jYgtiCWlc ,,,,,,,,,,,,,,,,
-1, Apple there isnt a puke emoji Im pissed fix it fat ,,,,,,,,,,,,,,,,
1, GriffinNW Apple tacobell I love you tacobell ,,,,,,,,,,,,,,,,
0, Attn Apple   Buy these guys amp make AppleTV what it should be Fan TV Heads for the exit   httptcomCPfhvKilJ via pkafka ,,,,,,,,,,,,,,,,
0, Apple Is Warming Up To Social Media Apple is hiring a social media guru in LA Will Apple finally tweet?Her httptcolXnHXmdt9S ,,,,,,,,,,,,,,,,
-1, NevBackwoods exactly Come on apple  other phone companies get yo shit together ,,,,,,,,,,,,,,,,
0, The difference between Apple and everyone else in one photo httptcoRXaKDAJrwm via qz ,,,,,,,,,,,,,,,,
0, RT JPDesloges Apple to launch 4inch iPhone next year Report AAPL aapl httptcox3lzm9bOoM ,,,,,,,,,,,,,,,,
0, AAPLIn Their Own Words Investor Robin Chan Talks About Xiaomis Lei JunhttptcokwkPByJ4p7 ,,,,,,,,,,,,,,,,
-1, Khloe Kardashian has a black iPhone 6 but I still dont have mine??? Apple whats going on huh? picking favorites? you biased fucks ,,,,,,,,,,,,,,,,
0, UBS Says Consensus on December Quarter Apple  iPhone Units Could be 10 Low AAPL aapl httptcowao7GqQ411 ,,,,,,,,,,,,,,,,
0, Apple iSchool? httptcoCMo0TsbHpI education applenws ,,,,,,,,,,,,,,,,
1, Props for apple iTC App Review Team for reviewing metadata rejected resubmission in just 2 hours Thanks ,,,,,,,,,,,,,,,,
0, marxculture AppleUK Apple ugh Im no longer a dev remember? I now wear a suit Oh wait I dont like suits  Yeh Ill probly do it ,,,,,,,,,,,,,,,,
-1, apple IOS8 is still shit ,,,,,,,,,,,,,,,,
0, Apple Apple Loop iPhone6S Rumors Steve Jobs Garage Myth iPhone 6C Speculation Saturday 6 December httptcokZ27zJxqhf ,,,,,,,,,,,,,,,,
-1, RT nicwill30 Shout out to Apple for making crappy iPhone alarms that dont go off and make me late for my final ,,,,,,,,,,,,,,,,
-1, The only reason I have an iPhone is because of iMessage apple BRUH make a better battery ,,,,,,,,,,,,,,,,
0, Verr?cktes Ger?cht iPhone6s zum Apple Apple Watch Wednesday 3 December httptcomSMQYRTUTO ,,,,,,,,,,,,,,,,
-1, Thanks for pushing me into yosemite apple it has been the WORST so slow and clunky cantgoback misssnowleopard whathappened ,,,,,,,,,,,,,,,,
-1, apple make SD cards so we can add memory to our iPhone because we all know you wont allow SD cards until you profit from it ,,,,,,,,,,,,,,,,
0, Apple announces its top apps of 2014 Did your favourite app make the list? via mashable AppStore2014 httptcorAaX3Wp3q2 ,,,,,,,,,,,,,,,,
0, RT DecodedFashion Apple is reportedly hiring fashionfocused staff for its physical stores httptcoZoOnR3u5zV FTDaily FashionTech ,,,,,,,,,,,,,,,,
0, Why Apple Watch May Be a Luxury Fashion Hit  AAPL aapl httptcoe8PoX8RNyx ,,,,,,,,,,,,,,,,
0, Steve Wozniak Says Apple Starting In Garage Is A Complete Myth stevewoz httptcoJyAtqxYwha httptcoEaBOxjAoFd ,,,,,,,,,,,,,,,,
0, Here are the top apps for the iPhone according to apple httptco6gzv72TrNY technologya ,,,,,,,,,,,,,,,,
-1, FastCoExist If you use Apple congrats you just gave the government permission to spy on you  Apple ,,,,,,,,,,,,,,,,
-1, HATE APPLE SO MUCH RUIN MY LIFE ,,,,,,,,,,,,,,,,
0, We need more products like Aviate Companies like BlackBerry amp Apple need to embrace the customization of quality themes ,,,,,,,,,,,,,,,,
0, Foreign Currency Exchange May Be A Headwind For Apple AAPL httptcoHH6LjnOq0x ,,,,,,,,,,,,,,,,
-1, RT QueenCleo92 Why are your phone chargers so terrible apple Fix this Jesus ,,,,,,,,,,,,,,,,
0, CNBCTV  Apple top execs take stand aapl httptcoIeWlOOLdER ,,,,,,,,,,,,,,,,
-1, Why do you hate business so much Apple? ,,,,,,,,,,,,,,,,
-1, why does Apple take so long to send you the password reset email ipod apple soslow ,,,,,,,,,,,,,,,,
-1, apple I hate the microphone shit on the imessage please take it the fuck off ,,,,,,,,,,,,,,,,
0, Square Launches iOS App for Food Delivery Service Caviar iOS Blog httptcol9uaXkPbxU AAPL ,,,,,,,,,,,,,,,,
0, Got new cases  apple applestore citycreek slc citycreek apple applestore red  httptcoeiT3tsudcu httptcoBPaOYLImcR ,,,,,,,,,,,,,,,,
0, Rumors Surface for Apple Apple iPhone6S and iPhone7 in 2015 Wednesday 3 December httptcodC5O4hRKNn ,,,,,,,,,,,,,,,,
-1, Just had to buy a replacement phone charger for my sons iPhone 40 Thats why Ill never buy and apple product for myself Just greedy ,,,,,,,,,,,,,,,,
-1, Since when did apple stop replacing iPhone units due to defect? Just because I have some scratches on my phone doesnt mean I dropped it ,,,,,,,,,,,,,,,,
0, Apple lol Yea bro ,,,,,,,,,,,,,,,,
0, Barclays Apple Analyst Joins The Crowd And Increases Price Target  Forbes aapl httptco6Z1DwxeCpE ,,,,,,,,,,,,,,,,
1, 7 awesome paid iPhone and iPad apps that are free for a limited time via BGR aapl httptcoAAAkSIIgP0 ,,,,,,,,,,,,,,,,
0, OneRepublic Apple Ooh my god ,,,,,,,,,,,,,,,,
0, Will Apple Incs Profit Margin Continue Upward? AAPL aapl httptcomK7jx2SlhF ,,,,,,,,,,,,,,,,
-1, Hey Apple what the hell is this hahaha httptcor1Uspl8dHn ,,,,,,,,,,,,,,,,
-1, THIS 16GB IS GOING TO KILL ME IM THIS CLOSE TO TAKING A SHIT ON MY PHONE Iphone apple ,,,,,,,,,,,,,,,,
0, ProfessorF Apple HP I am a bigger fan of the LGElectronics G Watch R ,,,,,,,,,,,,,,,,
-1, STUPID FUCKING IPHONE CHARGERS ARE STUPID AND BREAK TOO EASY FUCK YOU APPLE ,,,,,,,,,,,,,,,,
-1, Shout out to Apple for making crappy iPhone alarms that dont go off and make me late for my final ,,,,,,,,,,,,,,,,
-1, apple fuck you bitches my phones abrick and stuck on the apple logo ,,,,,,,,,,,,,,,,
-1, Apple iOS8 Notification Center is a pain in the ass No way to sort no way to dismiss all notifications and hitting that x on each app ,,,,,,,,,,,,,,,,
1, It took just one month for the iPhone6Plus to become the king of phablets Apple is king Jobspring technews httptcomAoSN8Hrrs ,,,,,,,,,,,,,,,,
-1, Worst thing I ever did was update the software on my computer This update is trash apple ,,,,,,,,,,,,,,,,
-1, yea let me just pay 600 dollars for phone so it dies at 30 fix your shit apple ,,,,,,,,,,,,,,,,
1, RT saxonidubom rwang0 Apple Thanksthinking of upgrading ,,,,,,,,,,,,,,,,
-1, apple why do your computers like to crash on dead week before finals? ,,,,,,,,,,,,,,,,
0, How to save a ton of money when you buy your next iPhone via BGR aapl httptcox35kXHBv0E ,,,,,,,,,,,,,,,,
0, iPad Mini First Time Startup httptcovGHN798zzs via youtube apple ipadmini ipad macbook macbookpro startup hipster unbox ,,,,,,,,,,,,,,,,
0, Most Recent Apple Inc Lawsuit Hurts Share Price httptcoolF6IGu65g AAPL ,,,,,,,,,,,,,,,,
0, Apple lower following cautious Pac Crest Deutsche notes AAPL CRUS httptcoQeSxIwzUIK ,,,,,,,,,,,,,,,,
0, caseypieper TheWeldingRoom Apple Monster redbull I heard Monster was the hebrew devil lol ,,,,,,,,,,,,,,,,
-1, Why the fuck is there a recently deleted photo album? Apple ,,,,,,,,,,,,,,,,
-1, Wtf apple yall shit be cheap httptcojeOimq3HNA ,,,,,,,,,,,,,,,,
-1, I am feeling creatively stifled by the current emoji selection apple ,,,,,,,,,,,,,,,,
0, Apple Opening Advanced RampD Center in Yokohama Japan httptcoRGTBpPywqJ AAPL ,,,,,,,,,,,,,,,,
0, Every student deserves a chance apple connected txed ,,,,,,,,,,,,,,,,
0, Is Apple The Most Important Stock On Earth?  httptco1X62rp5R8y aapl httptco3YtD8Iz62i ,,,,,,,,,,,,,,,,
-1, Apple I had a power cord problem under warranty You said it would be fine It isnt And now you wont replace it? httptcofW3BoW53dj ,,,,,,,,,,,,,,,,
-1, I just had 40 now I have 8 wtf apple ,,,,,,,,,,,,,,,,
-1, RT QueenCleo92 Why are your phone chargers so terrible apple Fix this Jesus ,,,,,,,,,,,,,,,,
0, SheLovesQuez Apple you must not like em ,,,,,,,,,,,,,,,,
-1, So apple wouldnt fix my phone and claims that I didnt tell them to screen was fucked ,,,,,,,,,,,,,,,,
0, REPORT Apple Wants Fashion And Luxury Experts To Help Sell The AppleWatch aapl httptcoI1UpTiCF0i httptcororXfmpPSk ,,,,,,,,,,,,,,,,
0, THEHIITCOACH Well use it But we know that feeling only too well of waiting for your app to be approved by Apple LikeWatchingPaintDry ,,,,,,,,,,,,,,,,
1, Apple store nyc I am honored to be here travel httptcoJnbCd79z1b ,,,,,,,,,,,,,,,,
0, Even the Apple NYC flagship store wasnt spared a visit from the EricGarner protests verge httptcoxEuDG7rAN7 ,,,,,,,,,,,,,,,,
0, Early Movers ANF TJX TGT LYV AAPL amp more These are the stocks posting the largest moves before the bell httptcoRwjm3lpzRN ,,,,,,,,,,,,,,,,
-1, Dear Apple all I want for Xmas is for iOS 8 to stop crashing my iPad  Signed Cindy Lou Who of Whoville apple ,,,,,,,,,,,,,,,,
0, apple drdre next big thing Wireless earbuds Aka earplugs with sound Soundplugs ,,,,,,,,,,,,,,,,
-1, iMessage isnt working thanks apple ,,,,,,,,,,,,,,,,
-1, apple DUCK OFF ,,,,,,,,,,,,,,,,
0, Todays Show On Demand features LawyerPeteSchulte on PoliceBodyCameras Apple opening in Toledo amp Hot 5 at 5 httptcorKHubWeRjX ,,,,,,,,,,,,,,,,
0, Dear Amazon if Apple could do it you can too httptcol9vbG8JXcL ,,,,,,,,,,,,,,,,
-1, wastwater1 l agree with you theyre about as robust as a chocolate fire guard Apple traffordcentre ,,,,,,,,,,,,,,,,
0, Not a book on how Apple or Starbucks grow global brands This is your book on how to grow your stickybrand  httptcoaJt29u9Bt1 ,,,,,,,,,,,,,,,,
0, MhDaDon Apple I havent decided yet I might get bourgeois about it ,,,,,,,,,,,,,,,,
-1, dear apple why oh why do I have to baby sit copying files in the POS Finder? its not like copying files is hard oh wait its you ,,,,,,,,,,,,,,,,
0, CHAYILTrading ChartOfTheDay Apple AAPL httptcoQRVLWmGw1Z ,,,,,,,,,,,,,,,,
-1, RT ColtonObrian My phone died on 23 apple what the fuck is this ,,,,,,,,,,,,,,,,
0, Apple  apple httptcotCfTmuauMY ,,,,,,,,,,,,,,,,
0, whereiscooldude Apple I kind of thought that before hand ,,,,,,,,,,,,,,,,
0, but when is apple gonna let me italicize ,,,,,,,,,,,,,,,,
0, Short Menu 31 now live in the apple appstore floschliep ,,,,,,,,,,,,,,,,
0, What if Apple bought Telsa? Talent is key Cook has access to Musks bright mind on a permanent basis Read more httptconxhkHTGJ4L ,,,,,,,,,,,,,,,,
0, RT JPDesloges Apple mass transit system for Maps detailed in new patent AAPL aapl httptcoYhwWoUBR3Q ,,,,,,,,,,,,,,,,
0, waywardhem Apple I totally agree ,,,,,,,,,,,,,,,,
-1, timcook therealjonyive iosissues ios8problems Apple More issues Now safari I want jobs quality control back httptcoW2754JV0dI ,,,,,,,,,,,,,,,,
-1, agiletortoise Once again apple is inconsistent with app rules to maintain their Plausible Deniability Sorry to hear that Greg draftsapp ,,,,,,,,,,,,,,,,
0, Hope Apple amp iOS will allow compact views for 3rd party keyboards like SwiftKey and Swype do on Android ,,,,,,,,,,,,,,,,
-1, just need apple to come out with a charger cord that keep a charge amp dont fall apart httptcoVZ8HDbMzlu ,,,,,,,,,,,,,,,,
0, Will Apple and Facebook Crush Google?  The Motley Fool aapl fb goog httptcoMe8RLrIoDf ,,,,,,,,,,,,,,,,
1, I love my iphone6 apple MobilePhone httptco5AJVSQXGDn httptcokLwBBWIp0o ,,,,,,,,,,,,,,,,
-1, Day 12 without access to my iTunes passwd Apple working on it No new apps or calendar apple ecosystem has achilles? Your move google ,,,,,,,,,,,,,,,,
-1, Since Steve jobs left this world I have been having problems with my iphone5 ipad2 G5macpro apple is done httptcoE4YLHjtK93 ,,,,,,,,,,,,,,,,
-1, fuck u apple ,,,,,,,,,,,,,,,,
0, Feed My Ego Futter Mein Ego iPhone 44S Tough Ca  COMPUTING amp COMMUNICATION  Melasdesign httptcojbVgROMp3p cafepress iphone apple ,,,,,,,,,,,,,,,,
-1, god dammit fuck you apple ,,,,,,,,,,,,,,,,
0, RT ppropp Our buddies ArccosGolf are at eye level in the apple store startups ctnext StamfordiCenter nice httptcor3j9yZ5G8u ,,,,,,,,,,,,,,,,
-1, timcook Not happy with Apple AppStore Backwards compatibility should be a given  It is for my other apps why not Aperture?? Money Grab? ,,,,,,,,,,,,,,,,
0, Apple store on 5th ave httptcooIxg0YpFn9 ,,,,,,,,,,,,,,,,
0, Here are SFBJEditor 5 things to know today including who is hoarding the Apple iPhone6 httptcolwacRDp3vU ,,,,,,,,,,,,,,,,
-1, MacRumors kellyhodgkins I believe it I bought an amazon Fire TV for 69 Apple Youve lost another customer ,,,,,,,,,,,,,,,,
0, TMOBILEIPHONE LTE PHONE CALL WORKAROUND httptcorctGxbHpJH iPhone6 TMobile Apple apple tech smartphone httptconBlIiAW1JU ,,,,,,,,,,,,,,,,
0, The 10 Most Important Differences Between Macs And PCs aapl httptcovSxUcX6vyx httptco97huQ31qPT ,,,,,,,,,,,,,,,,
0, Apple Sales IMac 24inch 2007 updated with Yosi great family device refurbished ?33000 3 Month Warranty httptcohJ3fM4MxmN ,,,,,,,,,,,,,,,,
0, Morgan Stanley Sells Apple Inc but AAPL Stock Still a Buy aapl stock news Morgan Stanley Sells Apple Inc httptcoQ20LTF26Uz ,,,,,,,,,,,,,,,,
0, RT abdinsyakirin apple  Hey you wanna use iFon Siks? Jas follow rizalscandal and u will get it  ,,,,,,,,,,,,,,,,
0, In emails Jobs determined to keep iPod Appleonly  AAPL aapl httptcoJwK4grA7Zq ,,,,,,,,,,,,,,,,
1, Steve Jobs Predicted Future Of ECommerce Back In 1996 amp Got It Exactly Right httptcow7q2G2SCbH via sai ecommerce AAPL ,,,,,,,,,,,,,,,,
0, pwilke google Apple facebook ughhhh can uber just see itself out already ,,,,,,,,,,,,,,,,
-1, IM SICK OF YOUR FUCKING SHIT apple ,,,,,,,,,,,,,,,,
0, EU Nice iPhone ya got there Pity if something were to happen to it httptcovpn1gWZi2r Apple applenws iPhoneNews ,,,,,,,,,,,,,,,,
-1, I could really kick apple s ass This iPhone 6 battery sucks moldy dick on a Tuesday night  Worst shit ever Only last 4 fucking hours ,,,,,,,,,,,,,,,,
-1, RT unstanningzarry my phone keeps fucking freezing apple ,,,,,,,,,,,,,,,,
